Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),BaseMatcher,Method
conference,LogMap_AllPairs_Err80,ALL,0.8455666027094599,0.6017982225757259,0.22379194101883174,0.7031544081910145,0.8254716981132075,0.5737704918032787,0.2222222222222222,0.6769825918762089,175,36,37,130,212,181451937009,00:03:01,LogMap,AllPairs
conference,LogMap_AllPairs_Err80,CLASSES,0.8710244198689577,0.6604590039045743,0.19601284958427817,0.7512662713720373,0.8534031413612565,0.6293436293436293,0.22033898305084745,0.7244444444444443,163,26,28,96,191,-,-,LogMap,AllPairs
conference,LogMap_AllPairs_Err80,PROPERTIES,0.38095238095238093,0.21190476190476187,0.20238095238095238,0.2723274048575253,0.5714285714285714,0.2608695652173913,0.22727272727272727,0.3582089552238805,12,10,9,34,21,-,-,LogMap,AllPairs
conference,LogMap_AllPairs_Err80,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,LogMap,AllPairs
conference,Paris_AllPairs_StarTwoMintrue,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,305,0,92760383562,00:01:32,Paris,AllPairs
conference,Paris_AllPairs_StarTwoMintrue,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,259,0,-,-,Paris,AllPairs
conference,Paris_AllPairs_StarTwoMintrue,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-,-,Paris,AllPairs
conference,Paris_AllPairs_StarTwoMintrue,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,Paris,AllPairs
conference,AML_AllPairs_StarTwoMintrue,ALL,0.8412723519866376,0.6586151803627719,0.3133527148233031,0.7388217181457535,0.8405172413793104,0.639344262295082,0.32098765432098764,0.7262569832402235,195,52,37,110,232,335615472738,00:05:35,AML,AllPairs
conference,AML_AllPairs_StarTwoMintrue,CLASSES,0.831457167171453,0.6994063964560859,0.253817082388511,0.7597364976418729,0.8262910798122066,0.6795366795366795,0.2966101694915254,0.7457627118644068,176,35,37,83,213,-,-,AML,AllPairs
conference,AML_AllPairs_StarTwoMintrue,PROPERTIES,0.47619047619047616,0.28809523809523807,0.28095238095238095,0.3589971814270879,1.0,0.41304347826086957,0.38636363636363635,0.5846153846153846,19,17,0,27,19,-,-,AML,AllPairs
conference,AML_AllPairs_StarTwoMintrue,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,AML,AllPairs
conference,ATBox_AllPairs_StarOneMinfalse,ALL,0.6425605926335693,0.5964507323557281,0.18762242270645632,0.6186476722681025,0.6183745583038869,0.5737704918032787,0.21604938271604937,0.5952380952380952,175,35,108,130,283,270762690849,00:04:30,ATBox,AllPairs
conference,ATBox_AllPairs_StarOneMinfalse,CLASSES,0.7667222988651562,0.6592157282742441,0.17445200302343158,0.7089163610349315,0.7523364485981309,0.6216216216216216,0.1864406779661017,0.6807610993657506,161,22,53,98,214,-,-,ATBox,AllPairs
conference,ATBox_AllPairs_StarOneMinfalse,PROPERTIES,0.1349206349206349,0.1793650793650794,0.1746031746031746,0.15400032066698735,0.20588235294117646,0.30434782608695654,0.29545454545454547,0.2456140350877193,14,13,54,32,68,-,-,ATBox,AllPairs
conference,ATBox_AllPairs_StarOneMinfalse,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,-,-,ATBox,AllPairs
conference,ATBox_AllPairs_StarOneMintrue,ALL,0.6143851923676165,0.6009020781114218,0.19578568801257876,0.6075688404257901,0.5919732441471572,0.580327868852459,0.22839506172839505,0.5860927152317881,177,37,122,128,299,272011464669,00:04:32,ATBox,AllPairs
