Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),BaseMatcher,Method
conference,LogMap_AllPairs_Err80,ALL,0.8480295459287057,0.5823235341496307,0.219030036256927,0.6904974290983662,0.8275862068965517,0.5508196721311476,0.21604938271604937,0.6614173228346457,168,35,35,137,203,1005848405667,00:16:45,LogMap,AllPairs
conference,LogMap_AllPairs_Err80,CLASSES,0.873977881750991,0.6374016192420899,0.1892101284958428,0.7371741070244987,0.8571428571428571,0.6023166023166023,0.211864406779661,0.7074829931972789,156,25,26,103,182,-,-,LogMap,AllPairs
conference,LogMap_AllPairs_Err80,PROPERTIES,0.38095238095238093,0.2119047619047619,0.20238095238095238,0.2723274048575253,0.5714285714285714,0.2608695652173913,0.22727272727272727,0.3582089552238805,12,10,9,34,21,-,-,LogMap,AllPairs
conference,LogMap_AllPairs_Err80,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,LogMap,AllPairs
conference,Paris_AllPairs_StarTwoMintrue,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,305,0,161094664941,00:02:41,Paris,AllPairs
conference,Paris_AllPairs_StarTwoMintrue,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,259,0,-,-,Paris,AllPairs
conference,Paris_AllPairs_StarTwoMintrue,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-,-,Paris,AllPairs
conference,Paris_AllPairs_StarTwoMintrue,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,Paris,AllPairs
conference,AML_AllPairs_StarTwoMintrue,ALL,0.8454171123197428,0.6783082288601682,0.34965450826795363,0.752699149390826,0.8410041841004184,0.659016393442623,0.35802469135802467,0.7389705882352942,201,58,38,104,239,1161474009927,00:19:21,AML,AllPairs
conference,AML_AllPairs_StarTwoMintrue,CLASSES,0.8360228029254335,0.7237380589456432,0.30500755857898715,0.7758388294186614,0.8272727272727273,0.7027027027027027,0.3474576271186441,0.7599164926931107,182,41,38,77,220,-,-,AML,AllPairs
conference,AML_AllPairs_StarTwoMintrue,PROPERTIES,0.47619047619047616,0.28809523809523807,0.280952380952381,0.3589971814270879,1.0,0.41304347826086957,0.38636363636363635,0.5846153846153846,19,17,0,27,19,-,-,AML,AllPairs
conference,AML_AllPairs_StarTwoMintrue,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,AML,AllPairs
conference,ATBox_AllPairs_StarOneMinfalse,ALL,0.6425605926335691,0.5964507323557281,0.18762242270645632,0.6186476722681022,0.6183745583038869,0.5737704918032787,0.21604938271604937,0.5952380952380952,175,35,108,130,283,1315152437298,00:21:55,ATBox,AllPairs
conference,ATBox_AllPairs_StarOneMinfalse,CLASSES,0.7667222988651559,0.6592157282742442,0.17445200302343158,0.7089163610349316,0.7523364485981309,0.6216216216216216,0.1864406779661017,0.6807610993657506,161,22,53,98,214,-,-,ATBox,AllPairs
conference,ATBox_AllPairs_StarOneMinfalse,PROPERTIES,0.13492063492063494,0.1793650793650794,0.17460317460317462,0.15400032066698735,0.20588235294117646,0.30434782608695654,0.29545454545454547,0.2456140350877193,14,13,54,32,68,-,-,ATBox,AllPairs
conference,ATBox_AllPairs_StarOneMinfalse,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,-,-,ATBox,AllPairs
conference,ATBox_AllPairs_StarOneMintrue,ALL,0.6425605926335692,0.5964507323557282,0.1876224227064563,0.6186476722681025,0.6183745583038869,0.5737704918032787,0.21604938271604937,0.5952380952380952,175,35,108,130,283,1314838121205,00:21:54,ATBox,AllPairs
conference,ATBox_AllPairs_StarOneMintrue,CLASSES,0.7667222988651559,0.6592157282742442,0.17445200302343158,0.7089163610349316,0.7523364485981309,0.6216216216216216,0.1864406779661017,0.6807610993657506,161,22,53,98,214,-,-,ATBox,AllPairs
conference,ATBox_AllPairs_StarOneMintrue,PROPERTIES,0.13492063492063494,0.1793650793650794,0.1746031746031746,0.15400032066698735,0.20588235294117646,0.30434782608695654,0.29545454545454547,0.2456140350877193,14,13,54,32,68,-,-,ATBox,AllPairs
conference,ATBox_AllPairs_StarOneMintrue,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,-,-,ATBox,AllPairs
conference,ALOD2Vec_AllPairs_MergeCenterMaxtrue,ALL,0.5944606332561513,0.5792332492179616,0.14233309485410325,0.586748161977784,0.568561872909699,0.5573770491803278,0.16666666666666666,0.5629139072847683,170,27,129,135,299,1036246913730,00:17:16,ALOD2Vec,AllPairs
