Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),BaseMatcher,Method
knowledgegraph,Paris_AllPairs_StarTwoMintrue,ALL,0.8137146578273902,0.8357323064474397,0.5223214873738987,0.8245765308072855,0.8430149123354339,0.8796796666449639,0.5754985754985755,0.8609571146370993,13511,2222,2516,1848,50093,30974050833735,08:36:14,Paris,AllPairs
knowledgegraph,Paris_AllPairs_StarTwoMintrue,CLASSES,0.13333333333333333,0.026666666666666665,0.0,0.04444444444444444,0.4,0.04081632653061224,0.0,0.07407407407407406,2,0,3,47,14,-,-,Paris,AllPairs
knowledgegraph,Paris_AllPairs_StarTwoMintrue,PROPERTIES,0.8894474153297682,0.6120350105485863,0.6120350105485863,0.7251139924668968,0.9274193548387096,0.6353591160220995,0.6353591160220995,0.7540983606557377,115,115,9,66,307,-,-,Paris,AllPairs
knowledgegraph,Paris_AllPairs_StarTwoMintrue,INSTANCES,0.817636270395537,0.8416141379327776,0.49849935081731483,0.8294519517940666,0.8458478054941585,0.8853195849031661,0.5758403935501503,0.8651337036558584,13394,2107,2441,1735,49772,-,-,Paris,AllPairs
knowledgegraph,AML_AllPairs_StarTwoMintrue,ALL,0.9051479176436417,0.7961962980588408,0.4317270260553041,0.8471835558872726,0.9110857794243374,0.8326062894719708,0.4737114737114737,0.8700799455689743,12788,1829,1248,2571,24852,100426029141290,27:53:46,AML,AllPairs
knowledgegraph,AML_AllPairs_StarTwoMintrue,CLASSES,0.9818181818181818,0.8146520146520146,0.35333333333333333,0.8904574775709944,0.9743589743589743,0.7755102040816326,0.47619047619047616,0.8636363636363635,38,10,1,11,118,-,-,AML,AllPairs
knowledgegraph,AML_AllPairs_StarTwoMintrue,PROPERTIES,0.9245207377611558,0.566182666849947,0.5661826668499471,0.7022827146493968,0.875,0.6574585635359116,0.6574585635359116,0.750788643533123,119,119,17,62,242,-,-,AML,AllPairs
knowledgegraph,AML_AllPairs_StarTwoMintrue,INSTANCES,0.9046413804973399,0.8007736876973993,0.40981595983077684,0.849544521817021,0.9112618137219537,0.8348866415493423,0.4646078163432632,0.8714039323904794,12631,1700,1230,2498,24492,-,-,AML,AllPairs
knowledgegraph,ATBox_AllPairs_StarOneMinfalse,ALL,0.8926534375732096,0.8042694660573559,0.5116145374113797,0.8461597189539365,0.9287075598221218,0.856631291099681,0.5475265475265475,0.8912145227934702,13157,2114,1010,2202,24754,12965788817595,03:36:05,ATBox,AllPairs
knowledgegraph,ATBox_AllPairs_StarOneMinfalse,CLASSES,0.9666666666666668,0.79003663003663,0.2866666666666666,0.869471899022756,0.95,0.7755102040816326,0.47619047619047616,0.8539325842696629,38,10,2,11,128,-,-,ATBox,AllPairs
knowledgegraph,ATBox_AllPairs_StarOneMinfalse,PROPERTIES,0.9680620842572061,0.953396316063136,0.953396316063136,0.9606732310180116,0.9774011299435028,0.9558011049723757,0.9558011049723757,0.9664804469273743,173,173,4,8,390,-,-,ATBox,AllPairs
knowledgegraph,ATBox_AllPairs_StarOneMinfalse,INSTANCES,0.891222357711937,0.8025031601250694,0.47362826680270304,0.8445391545512179,0.9280286738351254,0.8557075814660585,0.5277398196228478,0.8904020083221569,12946,1931,1004,2183,24236,-,-,ATBox,AllPairs
knowledgegraph,ATBox_AllPairs_StarOneMintrue,ALL,0.8586812728088773,0.8163606752167543,0.528124975042807,0.8369863506910938,0.8932912497481701,0.8660720098964776,0.5633255633255633,0.8794710743801654,13302,2175,1589,2057,26470,13002687071810,03:36:42,ATBox,AllPairs
knowledgegraph,ATBox_AllPairs_StarOneMintrue,CLASSES,0.8984848484848484,0.79003663003663,0.2866666666666666,0.8407781018663689,0.9047619047619048,0.7755102040816326,0.47619047619047616,0.8351648351648353,38,10,4,11,137,-,-,ATBox,AllPairs
knowledgegraph,ATBox_AllPairs_StarOneMintrue,PROPERTIES,0.8479855328467482,0.9715781342449542,0.9715781342449542,0.9055843626365779,0.87,0.9613259668508287,0.9613259668508287,0.9133858267716535,174,174,26,7,479,-,-,ATBox,AllPairs
knowledgegraph,ATBox_AllPairs_StarOneMintrue,INSTANCES,0.8593624663998038,0.8147124191484014,0.49174330010821576,0.8364420014540151,0.8935763533346986,0.865225725427986,0.54413774255261,0.8791725434884815,13090,1991,1559,2039,25854,-,-,ATBox,AllPairs
knowledgegraph,ALOD2Vec_AllPairs_MergeCenterMaxtrue,ALL,0.8685367044257764,0.826312003479171,0.45659018196973944,0.8468983703169685,0.8701802868798526,0.8610586626733512,0.4851074851074851,0.8655954445789834,13225,1873,1973,2134,26215,26355117657965,07:19:15,ALOD2Vec,AllPairs
knowledgegraph,ALOD2Vec_AllPairs_MergeCenterMaxtrue,CLASSES,1.0,0.5602197802197803,0.1,0.7181293139878856,1.0,0.5714285714285714,0.09523809523809523,0.7272727272727273,28,2,0,21,106,-,-,ALOD2Vec,AllPairs
knowledgegraph,ALOD2Vec_AllPairs_MergeCenterMaxtrue,PROPERTIES,0.9445363938387196,0.9411732538055594,0.9411732538055594,0.9428518247626351,0.9239130434782609,0.9392265193370166,0.9392265193370166,0.9315068493150687,170,170,14,11,374,-,-,ALOD2Vec,AllPairs
knowledgegraph,ALOD2Vec_AllPairs_MergeCenterMaxtrue,INSTANCES,0.8666634639869228,0.825586210021832,0.41153774582336594,0.8456262874052171,0.8692779927932737,0.8610615374446428,0.46488111505875923,0.865150257346837,13027,1701,1959,2102,25735,-,-,ALOD2Vec,AllPairs
knowledgegraph,ALOD2Vec_AllPairs_MergeCenterMaxfalse,ALL,0.9177142806921843,0.8238073067224025,0.44944059830164085,0.8682289503400076,0.9216344808284355,0.8576079171821082,0.47474747474747475,0.8884691915955616,13172,1833,1120,2187,24287,26369220144775,07:19:29,ALOD2Vec,AllPairs
knowledgegraph,ALOD2Vec_AllPairs_MergeCenterMaxfalse,CLASSES,1.0,0.5602197802197803,0.1,0.7181293139878856,1.0,0.5714285714285714,0.09523809523809523,0.7272727272727273,28,2,0,21,93,-,-,ALOD2Vec,AllPairs
knowledgegraph,ALOD2Vec_AllPairs_MergeCenterMaxfalse,PROPERTIES,0.9445363938387195,0.9411732538055594,0.9411732538055594,0.942851824762635,0.9239130434782609,0.9392265193370166,0.9392265193370166,0.9315068493150687,170,170,14,11,368,-,-,ALOD2Vec,AllPairs
knowledgegraph,ALOD2Vec_AllPairs_MergeCenterMaxfalse,INSTANCES,0.9168370307243892,0.823019997009393,0.40343937594155455,0.8673991003361295,0.9214488636363637,0.8575583316808778,0.45394916643891775,0.8883563285288781,12974,1661,1106,2155,23826,-,-,ALOD2Vec,AllPairs
knowledgegraph,ATBox_AllPairs_StarOneMaxtrue,ALL,0.8610653768955681,0.8145033992100267,0.5240648220648992,0.8371374382537483,0.8938476036618201,0.8645745165700892,0.5581455581455581,0.8789674002978654,13279,2155,1577,2080,26396,12976685700760,03:36:16,ATBox,AllPairs
knowledgegraph,ATBox_AllPairs_StarOneMaxtrue,CLASSES,0.9038461538461539,0.79003663003663,0.2866666666666667,0.8431180436456911,0.9047619047619048,0.7755102040816326,0.47619047619047616,0.8351648351648353,38,10,4,11,134,-,-,ATBox,AllPairs
knowledgegraph,ATBox_AllPairs_StarOneMaxtrue,PROPERTIES,0.8638980689349844,0.9715781342449542,0.9715781342449542,0.9145795216952611,0.8787878787878788,0.9613259668508287,0.9613259668508287,0.9182058047493403,174,174,24,7,466,-,-,ATBox,AllPairs
knowledgegraph,ATBox_AllPairs_StarOneMaxtrue,INSTANCES,0.861416938828951,0.8128106827845206,0.4876145843890781,0.8364082412365779,0.8940202517788725,0.8637054663229559,0.5386717682426893,0.8786014456211128,13067,1971,1549,2062,25796,-,-,ATBox,AllPairs
knowledgegraph,Paris_AllPairs_Err95,ALL,0.8982232411840044,0.6126493572239663,0.3502734661283836,0.7284477750604029,0.917089382543292,0.6827267400221368,0.4128464128464128,0.7827417609076998,10486,1594,948,4873,37613,30664808199470,08:31:04,Paris,AllPairs
knowledgegraph,Paris_AllPairs_Err95,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,49,0,-,-,Paris,AllPairs
knowledgegraph,Paris_AllPairs_Err95,PROPERTIES,0.9525641025641025,0.24549264587230532,0.24549264587230532,0.3903779720061433,0.9444444444444444,0.281767955801105,0.281767955801105,0.4340425531914893,51,51,3,130,140,-,-,Paris,AllPairs
