Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),BaseMatcher,Method
conference,ATBox_TransitivePairsFirstVsRestClassesAscending,ALL,0.635294203151346,0.38066498075300453,0.0691517010844742,0.47607080962786086,0.6211180124223602,0.32786885245901637,0.08641975308641975,0.42918454935622313,100,14,61,205,161,73401080109,00:01:13,ATBox,TransitivePairsFirstVsRestClassesAscending
conference,ATBox_TransitivePairsFirstVsRestClassesAscending,CLASSES,0.7315003779289493,0.44386803732995295,0.07479213907785336,0.5524899815959766,0.7251908396946565,0.3667953667953668,0.07627118644067797,0.48717948717948717,95,9,36,164,131,-,-,ATBox,TransitivePairsFirstVsRestClassesAscending
conference,ATBox_TransitivePairsFirstVsRestClassesAscending,PROPERTIES,0.11111111111111109,0.05317460317460317,0.055555555555555546,0.07192699946323135,0.16666666666666666,0.10869565217391304,0.11363636363636363,0.13157894736842102,5,5,25,41,30,-,-,ATBox,TransitivePairsFirstVsRestClassesAscending
conference,ATBox_TransitivePairsFirstVsRestClassesAscending,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,ATBox,TransitivePairsFirstVsRestClassesAscending
conference,ATBox_TransitivePairsWindowClassesDescending,ALL,0.7407948187249381,0.3347875613825175,0.08669134320394825,0.46116205589189535,0.7027027027027027,0.34098360655737703,0.1111111111111111,0.45916114790286966,104,18,44,201,148,70738051818,00:01:10,ATBox,TransitivePairsWindowClassesDescending
conference,ATBox_TransitivePairsWindowClassesDescending,CLASSES,0.7849549920978492,0.3820111867839883,0.0819349962207105,0.5139165016601195,0.7795275590551181,0.38223938223938225,0.11016949152542373,0.5129533678756477,99,13,28,160,127,-,-,ATBox,TransitivePairsWindowClassesDescending
conference,ATBox_TransitivePairsWindowClassesDescending,PROPERTIES,0.047619047619047616,0.07142857142857142,0.07142857142857142,0.057142857142857134,0.25,0.10869565217391304,0.11363636363636363,0.15151515151515152,5,5,15,41,20,-,-,ATBox,TransitivePairsWindowClassesDescending
conference,ATBox_TransitivePairsWindowClassesDescending,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,-,-,ATBox,TransitivePairsWindowClassesDescending
conference,Paris_IncrementalMergeTextSingle,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,305,0,6198711288,00:00:06,Paris,IncrementalMergeTextSingle
conference,Paris_IncrementalMergeTextSingle,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,259,0,-,-,Paris,IncrementalMergeTextSingle
conference,Paris_IncrementalMergeTextSingle,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-,-,Paris,IncrementalMergeTextSingle
conference,Paris_IncrementalMergeTextSingle,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,Paris,IncrementalMergeTextSingle
