Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),BaseMatcher,Method
conference,ATBox_TransitivePairsFirstVsRestClassesAscending,ALL,0.6785714285714286,0.3183878510322658,0.04815431222994248,0.43341569376962785,0.664,0.2721311475409836,0.06172839506172839,0.38604651162790693,83,10,42,222,125,152533334478,00:02:32,ATBox,TransitivePairsFirstVsRestClassesAscending
conference,ATBox_TransitivePairsFirstVsRestClassesAscending,CLASSES,0.7561224489795917,0.37105533552084713,0.061356764928193495,0.4978154695007791,0.7570093457943925,0.3127413127413127,0.06779661016949153,0.44262295081967207,81,8,26,178,107,-,-,ATBox,TransitivePairsFirstVsRestClassesAscending
conference,ATBox_TransitivePairsFirstVsRestClassesAscending,PROPERTIES,0.047619047619047616,0.02142857142857143,0.023809523809523808,0.029556650246305414,0.1111111111111111,0.043478260869565216,0.045454545454545456,0.0625,2,2,16,44,18,-,-,ATBox,TransitivePairsFirstVsRestClassesAscending
conference,ATBox_TransitivePairsFirstVsRestClassesAscending,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,ATBox,TransitivePairsFirstVsRestClassesAscending
conference,ATBox_TransitivePairsWindowClassesDescending,ALL,0.7156641604010024,0.18502019682946744,0.008403361344537816,0.29402603200159044,0.6883116883116883,0.1737704918032787,0.018518518518518517,0.2774869109947644,53,3,24,252,77,165123855435,00:02:45,ATBox,TransitivePairsWindowClassesDescending
conference,ATBox_TransitivePairsWindowClassesDescending,CLASSES,0.7341269841269841,0.2198040330354812,0.006349206349206349,0.3383139220093179,0.7323943661971831,0.20077220077220076,0.01694915254237288,0.3151515151515152,52,2,19,207,71,-,-,ATBox,TransitivePairsWindowClassesDescending
conference,ATBox_TransitivePairsWindowClassesDescending,PROPERTIES,0.011904761904761904,0.023809523809523808,0.023809523809523808,0.015873015873015872,0.16666666666666666,0.021739130434782608,0.022727272727272728,0.03846153846153846,1,1,5,45,6,-,-,ATBox,TransitivePairsWindowClassesDescending
conference,ATBox_TransitivePairsWindowClassesDescending,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,ATBox,TransitivePairsWindowClassesDescending
conference,Paris_IncrementalMergeTextSingle,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,305,0,20016881241,00:00:20,Paris,IncrementalMergeTextSingle
conference,Paris_IncrementalMergeTextSingle,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,259,0,-,-,Paris,IncrementalMergeTextSingle
conference,Paris_IncrementalMergeTextSingle,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-,-,Paris,IncrementalMergeTextSingle
conference,Paris_IncrementalMergeTextSingle,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,Paris,IncrementalMergeTextSingle
conference,ATBox_TransitivePairsWindowSubjectsDescending,ALL,0.7507326007326007,0.20432642809390306,0.003968253968253968,0.32122519369261787,0.7368421052631579,0.18360655737704917,0.006172839506172839,0.29396325459317585,56,1,20,249,76,161304102057,00:02:41,ATBox,TransitivePairsWindowSubjectsDescending
conference,ATBox_TransitivePairsWindowSubjectsDescending,CLASSES,0.769047619047619,0.24388442033914412,0.003968253968253968,0.37032836457256696,0.7887323943661971,0.21621621621621623,0.00847457627118644,0.3393939393939394,56,1,15,203,71,-,-,ATBox,TransitivePairsWindowSubjectsDescending
conference,ATBox_TransitivePairsWindowSubjectsDescending,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,46,4,-,-,ATBox,TransitivePairsWindowSubjectsDescending
conference,ATBox_TransitivePairsWindowSubjectsDescending,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,-,-,ATBox,TransitivePairsWindowSubjectsDescending
conference,ALOD2Vec_IncrementalMergeSubjectsDescending,ALL,0.582287784127678,0.566824517609376,0.12192493158879714,0.5744521085520995,0.545751633986928,0.5475409836065573,0.15432098765432098,0.546644844517185,167,25,139,138,306,181559067249,00:03:01,ALOD2Vec,IncrementalMergeSubjectsDescending
conference,ALOD2Vec_IncrementalMergeSubjectsDescending,CLASSES,0.6777466316752031,0.6300747174562147,0.09349962207105064,0.6530418206481566,0.6446280991735537,0.6023166023166023,0.1271186440677966,0.6227544910179641,156,15,86,103,242,-,-,ALOD2Vec,IncrementalMergeSubjectsDescending
conference,ALOD2Vec_IncrementalMergeSubjectsDescending,PROPERTIES,0.10910808767951627,0.14206349206349206,0.13492063492063494,0.12342380426942572,0.171875,0.2391304347826087,0.22727272727272727,0.2,11,10,53,35,64,-,-,ALOD2Vec,IncrementalMergeSubjectsDescending
conference,ALOD2Vec_IncrementalMergeSubjectsDescending,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,ALOD2Vec,IncrementalMergeSubjectsDescending
conference,ATBox_TransitivePairsWindowSubjectsAscending,ALL,0.753174603174603,0.20432642809390306,0.003968253968253968,0.3214481684554011,0.7466666666666667,0.18360655737704917,0.006172839506172839,0.29473684210526313,56,1,19,249,75,161988681120,00:02:41,ATBox,TransitivePairsWindowSubjectsAscending
