Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),BaseMatcher,Method
knowledgegraph,ATBox_TransitivePairsFirstVsRestClassesAscending,ALL,0.7850842862054257,0.13036617501445305,0.08349002041355494,0.22360234615026486,0.7182561307901907,0.08581287844260695,0.0619010619010619,0.1533092939397464,1318,239,517,14041,4550,1469006553175,00:24:29,ATBox,TransitivePairsFirstVsRestClassesAscending
knowledgegraph,ATBox_TransitivePairsFirstVsRestClassesAscending,CLASSES,0.9,0.3917216117216117,0.12,0.5458598003629764,0.9230769230769231,0.24489795918367346,0.14285714285714285,0.3870967741935484,12,3,1,37,39,-,-,ATBox,TransitivePairsFirstVsRestClassesAscending
knowledgegraph,ATBox_TransitivePairsFirstVsRestClassesAscending,PROPERTIES,0.895835275835276,0.5302167091996821,0.5302167091996821,0.6661564051281422,0.9130434782608695,0.46408839779005523,0.46408839779005523,0.6153846153846153,84,84,8,97,175,-,-,ATBox,TransitivePairsFirstVsRestClassesAscending
knowledgegraph,ATBox_TransitivePairsFirstVsRestClassesAscending,INSTANCES,0.6754799928980623,0.12096057920822945,0.04059274134973306,0.20517902790521303,0.7063583815028902,0.08077202723246744,0.04154140475539765,0.14496707989797733,1222,152,508,13907,4336,-,-,ATBox,TransitivePairsFirstVsRestClassesAscending
knowledgegraph,ATBox_IncrementalMergeClassesDescending,ALL,0.867634507027525,0.798782915737789,0.5020403943450275,0.8317863361847123,0.8963744774175861,0.8515528354710593,0.5407925407925408,0.87338898163606,13079,2088,1512,2280,25430,4843864836380,01:20:43,ATBox,IncrementalMergeClassesDescending
knowledgegraph,ATBox_IncrementalMergeClassesDescending,CLASSES,0.8136363636363637,0.7603663003663004,0.2333333333333333,0.7860999041620741,0.8372093023255814,0.7346938775510204,0.38095238095238093,0.782608695652174,36,8,7,13,134,-,-,ATBox,IncrementalMergeClassesDescending
knowledgegraph,ATBox_IncrementalMergeClassesDescending,PROPERTIES,0.8211590288127173,0.9680067056735258,0.9680067056735258,0.8885565277644011,0.8238095238095238,0.9558011049723757,0.9558011049723757,0.8849104859335039,173,173,37,8,433,-,-,ATBox,IncrementalMergeClassesDescending
knowledgegraph,ATBox_IncrementalMergeClassesDescending,INSTANCES,0.8688200261450227,0.7970289622489921,0.46438979132300384,0.8313775481979309,0.8976147300878784,0.8506841165972635,0.5211806504509429,0.8735195303220552,12870,1907,1468,2259,24863,-,-,ATBox,IncrementalMergeClassesDescending
knowledgegraph,ATBox_TransitivePairsFirstVsRestModelSizeAscending,ALL,0.8157917516721079,0.19805878593069287,0.1493687817606603,0.3187347994912275,0.9247378161628624,0.09759749983722898,0.06086506086506086,0.17656065959952888,1499,235,122,13860,3354,950349284480,00:15:50,ATBox,TransitivePairsFirstVsRestModelSizeAscending
knowledgegraph,ATBox_TransitivePairsFirstVsRestModelSizeAscending,CLASSES,0.95,0.5115750915750915,0.15999999999999998,0.665030951605223,0.9545454545454546,0.42857142857142855,0.23809523809523808,0.5915492957746478,21,5,1,28,58,-,-,ATBox,TransitivePairsFirstVsRestModelSizeAscending
