Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),BaseMatcher,Method
knowledgegraph,ATBox_TransitivePairsFirstVsRestClassesAscending,ALL,0.6599906629318394,0.006041814643127477,0.014261393543918971,0.011974014438898502,0.6984126984126984,0.005729539683573149,0.009842009842009843,0.011365837907652566,88,38,38,15271,263,1847008578050,00:30:47,ATBox,TransitivePairsFirstVsRestClassesAscending
knowledgegraph,ATBox_TransitivePairsFirstVsRestClassesAscending,CLASSES,0.2,0.014285714285714285,0.02,0.026666666666666665,1.0,0.02040816326530612,0.047619047619047616,0.039999999999999994,1,1,0,48,4,-,-,ATBox,TransitivePairsFirstVsRestClassesAscending
knowledgegraph,ATBox_TransitivePairsFirstVsRestClassesAscending,PROPERTIES,0.7957142857142857,0.1703366582795943,0.1703366582795943,0.2806048960804377,0.8,0.13259668508287292,0.13259668508287292,0.22748815165876776,24,24,6,157,56,-,-,ATBox,TransitivePairsFirstVsRestClassesAscending
knowledgegraph,ATBox_TransitivePairsFirstVsRestClassesAscending,INSTANCES,0.47669738863287253,0.0032370937969715295,0.002075461259812093,0.0064305200658365605,0.6631578947368421,0.004164187983343248,0.003552883301448483,0.008276405675249605,63,13,32,15066,203,-,-,ATBox,TransitivePairsFirstVsRestClassesAscending
knowledgegraph,ATBox_TransitivePairsWindowClassesDescending,ALL,0.7774600929480703,0.030915914932959736,0.02531097929446479,0.05946710407786103,0.7581845238095238,0.06634546519955727,0.03108003108003108,0.12201400945937856,1019,120,325,14340,2329,2144405443305,00:35:44,ATBox,TransitivePairsWindowClassesDescending
knowledgegraph,ATBox_TransitivePairsWindowClassesDescending,CLASSES,0.9333333333333332,0.19728937728937726,0.07333333333333333,0.32572625758655693,0.8571428571428571,0.12244897959183673,0.14285714285714285,0.21428571428571427,6,3,1,43,13,-,-,ATBox,TransitivePairsWindowClassesDescending
knowledgegraph,ATBox_TransitivePairsWindowClassesDescending,PROPERTIES,0.8336507936507938,0.2228990981406996,0.2228990981406996,0.3517486708629778,0.8108108108108109,0.16574585635359115,0.16574585635359115,0.2752293577981651,30,30,7,151,70,-,-,ATBox,TransitivePairsWindowClassesDescending
knowledgegraph,ATBox_TransitivePairsWindowClassesDescending,INSTANCES,0.36785411140583557,0.02744332905676622,0.011576963425259153,0.05107617905332612,0.7561538461538462,0.06497455218454623,0.023776988248155235,0.11966644348408303,983,87,317,14146,2246,-,-,ATBox,TransitivePairsWindowClassesDescending
knowledgegraph,Paris_IncrementalMergeTextSingle,ALL,0.7924140341700614,0.8366731595902751,0.5210307154573448,0.8139423797720649,0.8319389763779528,0.8805260759164008,0.5786065786065786,0.8555432547841213,13524,2234,2732,1835,48665,13336546427530,03:42:16,Paris,IncrementalMergeTextSingle
knowledgegraph,Paris_IncrementalMergeTextSingle,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,49,66,-,-,Paris,IncrementalMergeTextSingle
knowledgegraph,Paris_IncrementalMergeTextSingle,PROPERTIES,0.8250428816466553,0.6702168287304044,0.6702168287304044,0.7396141551414855,0.8695652173913043,0.6629834254143646,0.6629834254143646,0.7523510971786833,120,120,18,61,346,-,-,Paris,IncrementalMergeTextSingle
knowledgegraph,Paris_IncrementalMergeTextSingle,INSTANCES,0.7959715477196768,0.841935461274231,0.4940275893765529,0.818308571256651,0.8342046303211351,0.8859805671227444,0.5777534845586225,0.8593133955187999,13404,2114,2664,1725,48253,-,-,Paris,IncrementalMergeTextSingle
knowledgegraph,ATBox_TransitivePairsWindowSubjectsDescending,ALL,0.8739398924879165,0.1989626529491411,0.15576314232628033,0.3241327001543289,0.955172794523573,0.5632528159385377,0.3840973840973841,0.7086336828309305,8651,1483,406,6708,13390,2148909911970,00:35:48,ATBox,TransitivePairsWindowSubjectsDescending
knowledgegraph,ATBox_TransitivePairsWindowSubjectsDescending,CLASSES,0.9666666666666668,0.326959706959707,0.15333333333333332,0.4886434854834447,0.8823529411764706,0.30612244897959184,0.3333333333333333,0.45454545454545453,15,7,2,34,48,-,-,ATBox,TransitivePairsWindowSubjectsDescending
knowledgegraph,ATBox_TransitivePairsWindowSubjectsDescending,PROPERTIES,0.9270924369747899,0.44990249281321526,0.44990249281321526,0.605813702636438,0.9534883720930233,0.4530386740331492,0.4530386740331492,0.6142322097378277,82,82,4,99,162,-,-,ATBox,TransitivePairsWindowSubjectsDescending
knowledgegraph,ATBox_TransitivePairsWindowSubjectsDescending,INSTANCES,0.4888541322242861,0.19436370451199528,0.13549993836215898,0.2781411579035941,0.9553272280545008,0.5654041906272721,0.3809784094014758,0.7103766142091932,8554,1394,400,6575,13180,-,-,ATBox,TransitivePairsWindowSubjectsDescending
knowledgegraph,ALOD2Vec_IncrementalMergeSubjectsDescending,ALL,0.9001246565675551,0.7518302084087027,0.445360434359098,0.8193213053078459,0.8986723081412314,0.8020704472947457,0.4737114737114737,0.8476278941755255,12319,1829,1389,3040,23462,9775700356855,02:42:55,ALOD2Vec,IncrementalMergeSubjectsDescending
knowledgegraph,ALOD2Vec_IncrementalMergeSubjectsDescending,CLASSES,0.8121212121212121,0.6735531135531135,0.1,0.7363750743400546,0.8108108108108109,0.6122448979591837,0.09523809523809523,0.6976744186046512,30,2,7,19,117,-,-,ALOD2Vec,IncrementalMergeSubjectsDescending
knowledgegraph,ALOD2Vec_IncrementalMergeSubjectsDescending,PROPERTIES,0.8863218390804597,0.9715781342449542,0.9715781342449542,0.9269938437138039,0.8613861386138614,0.9613259668508287,0.9613259668508287,0.9086161879895561,174,174,28,7,410,-,-,ALOD2Vec,IncrementalMergeSubjectsDescending
knowledgegraph,ALOD2Vec_IncrementalMergeSubjectsDescending,INSTANCES,0.9012490578072232,0.7486618476587139,0.39668625184526257,0.8178996606220817,0.8994728636127404,0.8007799590191024,0.45176277671494947,0.8472620462969439,12115,1653,1354,3014,22935,-,-,ALOD2Vec,IncrementalMergeSubjectsDescending
knowledgegraph,ATBox_TransitivePairsWindowSubjectsAscending,ALL,0.8707528321315017,0.19886403761933935,0.15530240061394218,0.3237821482873243,0.9549619163263053,0.5632528159385377,0.3833203833203833,0.7085756409206323,8651,1480,408,6708,13395,1642106977710,00:27:22,ATBox,TransitivePairsWindowSubjectsAscending
knowledgegraph,ATBox_TransitivePairsWindowSubjectsAscending,CLASSES,0.9666666666666668,0.326959706959707,0.15333333333333332,0.4886434854834447,0.8823529411764706,0.30612244897959184,0.3333333333333333,0.45454545454545453,15,7,2,34,48,-,-,ATBox,TransitivePairsWindowSubjectsAscending
knowledgegraph,ATBox_TransitivePairsWindowSubjectsAscending,PROPERTIES,0.911873015873016,0.4317206746313971,0.4317206746313971,0.5860022064305341,0.9418604651162791,0.44751381215469616,0.44751381215469616,0.6067415730337079,81,81,5,100,163,-,-,ATBox,TransitivePairsWindowSubjectsAscending
knowledgegraph,ATBox_TransitivePairsWindowSubjectsAscending,INSTANCES,0.48883337698314744,0.19438521914194365,0.135307907637243,0.2781598265846026,0.9552255471192497,0.56547028884923,0.38043181197048376,0.7104006643138884,8555,1392,401,6574,13184,-,-,ATBox,TransitivePairsWindowSubjectsAscending
knowledgegraph,ATBox_IncrementalMergeSubjectsDescending,ALL,0.8718483603570754,0.8026605500136483,0.5105621754781543,0.8358250948903909,0.9019621342512909,0.8529852203919526,0.5431235431235432,0.8767902556552001,13101,2097,1424,2258,25362,9678719492400,02:41:18,ATBox,IncrementalMergeSubjectsDescending
knowledgegraph,ATBox_IncrementalMergeSubjectsDescending,CLASSES,0.9538461538461538,0.7746520146520147,0.2533333333333333,0.8549605179934925,0.925,0.7551020408163265,0.42857142857142855,0.8314606741573034,37,9,3,12,134,-,-,ATBox,IncrementalMergeSubjectsDescending
knowledgegraph,ATBox_IncrementalMergeSubjectsDescending,PROPERTIES,0.8708334938974917,0.9644352771020971,0.9644352771020971,0.9152474615904669,0.864321608040201,0.9502762430939227,0.9502762430939227,0.9052631578947368,172,172,27,9,419,-,-,ATBox,IncrementalMergeSubjectsDescending
knowledgegraph,ATBox_IncrementalMergeSubjectsDescending,INSTANCES,0.871986446159678,0.8011665761045956,0.4753505747318722,0.8350777079958189,0.9024219515609688,0.8521382774803358,0.5236403388904072,0.8765595784463709,12892,1916,1394,2237,24809,-,-,ATBox,IncrementalMergeSubjectsDescending
knowledgegraph,AML_TransitivePairsFirstVsRestSubjectsDescending,ALL,0.7563136781991733,0.16077803640083407,0.069934665165288,0.26518313522653736,0.833466773418735,0.1355557002409011,0.07018907018907018,0.23318586548692388,2082,271,416,13277,5670,13727171255670,03:48:47,AML,TransitivePairsFirstVsRestSubjectsDescending
knowledgegraph,AML_TransitivePairsFirstVsRestSubjectsDescending,CLASSES,0.6,0.2666666666666667,0.0,0.3692307692307693,1.0,0.10204081632653061,0.0,0.1851851851851852,5,0,0,44,32,-,-,AML,TransitivePairsFirstVsRestSubjectsDescending
knowledgegraph,AML_TransitivePairsFirstVsRestSubjectsDescending,PROPERTIES,0.55,0.10637890641342092,0.10637890641342092,0.17827629119614008,0.7647058823529411,0.0718232044198895,0.0718232044198895,0.1313131313131313,13,13,4,168,36,-,-,AML,TransitivePairsFirstVsRestSubjectsDescending
knowledgegraph,AML_TransitivePairsFirstVsRestSubjectsDescending,INSTANCES,0.7415333839959758,0.16045118876080652,0.06597187755458808,0.2638180664317427,0.8336025848142165,0.13642673012095974,0.0705110685979776,0.23447884123828455,2064,258,412,13065,5602,-,-,AML,TransitivePairsFirstVsRestSubjectsDescending
knowledgegraph,ALOD2Vec_IncrementalMergeClassesAscending,ALL,0.8935399559265825,0.7662329490338553,0.44901127718291695,0.8250041357622064,0.899971256108077,0.8154176704212514,0.48174048174048173,0.8556105892399658,12524,1860,1392,2835,23863,2294027680120,00:38:14,ALOD2Vec,IncrementalMergeClassesAscending
knowledgegraph,ALOD2Vec_IncrementalMergeClassesAscending,CLASSES,0.8121212121212121,0.6735531135531135,0.1,0.7363750743400546,0.8108108108108109,0.6122448979591837,0.09523809523809523,0.6976744186046512,30,2,7,19,118,-,-,ALOD2Vec,IncrementalMergeClassesAscending
knowledgegraph,ALOD2Vec_IncrementalMergeClassesAscending,PROPERTIES,0.9065294284097339,0.9644352771020971,0.9644352771020971,0.9345862676232284,0.8686868686868687,0.9502762430939227,0.9502762430939227,0.9076517150395779,172,172,26,9,405,-,-,ALOD2Vec,IncrementalMergeClassesAscending
knowledgegraph,ALOD2Vec_IncrementalMergeClassesAscending,INSTANCES,0.8939896553504024,0.7634276450132484,0.40312699996613144,0.8235661798638376,0.9006651560558439,0.8144622909643731,0.4607816343263187,0.8553974314474141,12322,1686,1359,2807,23340,-,-,ALOD2Vec,IncrementalMergeClassesAscending
knowledgegraph,AML_TransitivePairsWindowClassesAscending,ALL,0.40373431282522193,0.02880406539943378,0.012616726952790109,0.05377182759294055,0.8189368770764119,0.06419688781821734,0.024087024087024088,0.11906055666244039,986,93,218,14373,2008,24391946149640,06:46:31,AML,TransitivePairsWindowClassesAscending
knowledgegraph,AML_TransitivePairsWindowClassesAscending,CLASSES,0.2,0.013333333333333332,0.0,0.024999999999999998,1.0,0.02040816326530612,0.0,0.039999999999999994,1,0,0,48,7,-,-,AML,TransitivePairsWindowClassesAscending
knowledgegraph,AML_TransitivePairsWindowClassesAscending,PROPERTIES,0.21666666666666665,0.012223062257576755,0.012223062257576755,0.023140664006682677,0.3333333333333333,0.016574585635359115,0.016574585635359115,0.031578947368421054,3,3,6,178,21,-,-,AML,TransitivePairsWindowClassesAscending
knowledgegraph,AML_TransitivePairsWindowClassesAscending,INSTANCES,0.40113310936429764,0.028837798141403415,0.011865009512633131,0.05380734107238516,0.8224455611390284,0.0649084539625884,0.024596884394643345,0.12032101942044968,982,90,212,14147,1980,-,-,AML,TransitivePairsWindowClassesAscending
knowledgegraph,Paris_IncrementalMergeTextAverage,ALL,0.8310108627993253,0.8381080756868521,0.524400876844817,0.8345443803151492,0.8521969029334004,0.8814375935933328,0.5824915824915825,0.8665706513042085,13538,2249,2348,1821,47777,13633033903370,03:47:13,Paris,IncrementalMergeTextAverage
knowledgegraph,Paris_IncrementalMergeTextAverage,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,49,80,-,-,Paris,IncrementalMergeTextAverage
knowledgegraph,Paris_IncrementalMergeTextAverage,PROPERTIES,0.8211161387631976,0.6520350105485863,0.6520350105485864,0.7268724196430199,0.8623188405797102,0.6574585635359116,0.6574585635359116,0.7460815047021944,119,119,19,62,328,-,-,Paris,IncrementalMergeTextAverage
knowledgegraph,Paris_IncrementalMergeTextAverage,INSTANCES,0.8344626749839149,0.8434927475330258,0.4975658525676957,0.8389534131724937,0.8546589389210878,0.8869720404521119,0.5821262640065592,0.8705157314304249,13419,2130,2282,1710,47369,-,-,Paris,IncrementalMergeTextAverage
